22:46:43.175 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/store/lkemp/resource_benchmarking/resource_bench_08_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/9b3bdd1f/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Sep 11, 2020 10:46:43 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
22:46:43.575 INFO  ApplyBQSR - ------------------------------------------------------------
22:46:43.575 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.1.8.1
22:46:43.575 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
22:46:43.576 INFO  ApplyBQSR - Executing as lkemp@Wintermute on Linux v4.4.0-179-generic amd64
22:46:43.576 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_265-b11
22:46:43.576 INFO  ApplyBQSR - Start Date/Time: 11 September 2020 10:46:43 PM
22:46:43.576 INFO  ApplyBQSR - ------------------------------------------------------------
22:46:43.576 INFO  ApplyBQSR - ------------------------------------------------------------
22:46:43.577 INFO  ApplyBQSR - HTSJDK Version: 2.23.0
22:46:43.577 INFO  ApplyBQSR - Picard Version: 2.22.8
22:46:43.577 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
22:46:43.578 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
22:46:43.578 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
22:46:43.578 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
22:46:43.578 INFO  ApplyBQSR - Deflater: IntelDeflater
22:46:43.578 INFO  ApplyBQSR - Inflater: IntelInflater
22:46:43.578 INFO  ApplyBQSR - GCS max retries/reopens: 20
22:46:43.578 INFO  ApplyBQSR - Requester pays: disabled
22:46:43.579 INFO  ApplyBQSR - Initializing engine
22:46:44.078 INFO  ApplyBQSR - Done initializing engine
22:46:44.131 WARN  ApplyBQSR - This tool has only been well tested on ILLUMINA-based sequencing data. For other data use at your own risk.
22:46:44.131 INFO  ProgressMeter - Starting traversal
22:46:44.131 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
22:54:45.021 INFO  ProgressMeter -           6:93085592              8.0              26548000        3312365.2
22:54:55.026 INFO  ProgressMeter -          6:132212027              8.2              27104000        3312806.2
22:55:05.032 INFO  ProgressMeter -          6:162992302              8.3              27709000        3319099.0
22:55:15.034 INFO  ProgressMeter -           7:19156869              8.5              28286000        3321883.0
22:55:25.037 INFO  ProgressMeter -           7:45006362              8.7              28862000        3324438.6
22:55:35.038 INFO  ProgressMeter -           7:63303608              8.8              29449000        3328159.8
22:55:45.052 INFO  ProgressMeter -           7:75115255              9.0              30013000        3329106.0
22:55:55.052 INFO  ProgressMeter -           7:99690966              9.2              30575000        3329884.6
22:56:05.062 INFO  ProgressMeter -          7:102392144              9.3              31078000        3324265.1
22:56:15.066 INFO  ProgressMeter -          7:131099324              9.5              31618000        3322765.9
22:56:25.066 INFO  ProgressMeter -          7:150692378              9.7              32199000        3325570.0
22:56:35.073 INFO  ProgressMeter -            8:7616101              9.8              32802000        3330484.8
22:56:45.074 INFO  ProgressMeter -           8:23485958             10.0              33349000        3329666.9
22:56:55.076 INFO  ProgressMeter -           8:59500710             10.2              33952000        3334375.4
22:57:05.086 INFO  ProgressMeter -           8:86574543             10.3              34562000        3339565.7
22:57:15.088 INFO  ProgressMeter -           8:86787816             10.5              35184000        3345774.8
22:57:25.101 INFO  ProgressMeter -           8:90251083             10.7              35807000        3351826.1
22:57:35.117 INFO  ProgressMeter -          8:133900528             10.8              36395000        3354455.2
22:57:45.123 INFO  ProgressMeter -            9:6007501             11.0              36993000        3357952.9
22:57:55.151 INFO  ProgressMeter -           9:37861351             11.2              37593000        3361424.9
22:58:05.166 INFO  ProgressMeter -           9:69655430             11.4              38168000        3362651.5
22:58:15.167 INFO  ProgressMeter -           9:97063224             11.5              38777000        3366857.9
22:58:25.174 INFO  ProgressMeter -          9:117088608             11.7              39320000        3365276.3
22:58:35.178 INFO  ProgressMeter -          9:133560799             11.9              39888000        3365853.5
22:58:45.187 INFO  ProgressMeter -           10:3154395             12.0              40486000        3368892.3
22:58:55.191 INFO  ProgressMeter -          10:38343322             12.2              41083000        3371788.9
22:59:05.197 INFO  ProgressMeter -          10:65662321             12.4              41661000        3373059.9
22:59:15.204 INFO  ProgressMeter -          10:88993117             12.5              42252000        3375331.0
22:59:25.220 INFO  ProgressMeter -         10:104934640             12.7              42844000        3377581.3
22:59:35.237 INFO  ProgressMeter -         10:134016205             12.9              43422000        3378679.5
22:59:45.237 INFO  ProgressMeter -           11:5068387             13.0              43942000        3375367.7
22:59:55.250 INFO  ProgressMeter -          11:31808976             13.2              44528000        3377094.2
23:00:05.252 INFO  ProgressMeter -          11:60641147             13.4              45134000        3380317.6
23:00:15.255 INFO  ProgressMeter -          11:66001506             13.5              45697000        3380272.3
23:00:25.266 INFO  ProgressMeter -          11:77413134             13.7              46287000        3382176.4
23:00:35.274 INFO  ProgressMeter -         11:108198214             13.9              46791000        3377834.4
23:00:45.281 INFO  ProgressMeter -         11:126145977             14.0              47384000        3379948.1
23:00:55.281 INFO  ProgressMeter -           12:8211956             14.2              47929000        3378652.4
23:01:05.289 INFO  ProgressMeter -          12:33205544             14.4              48531000        3381334.6
23:01:15.288 INFO  ProgressMeter -          12:53662853             14.5              49139000        3384395.7
23:01:25.303 INFO  ProgressMeter -          12:69073383             14.7              49720000        3385495.0
23:01:35.307 INFO  ProgressMeter -         12:106460123             14.9              50307000        3387011.5
23:01:45.314 INFO  ProgressMeter -         12:122803879             15.0              50889000        3388150.2
23:01:55.325 INFO  ProgressMeter -          13:28874723             15.2              51496000        3390891.5
23:02:05.339 INFO  ProgressMeter -          13:61984582             15.4              52053000        3390309.2
23:02:15.355 INFO  ProgressMeter -          14:19413137             15.5              52655000        3392635.3
23:02:25.365 INFO  ProgressMeter -          14:38792481             15.7              53246000        3394228.6
23:02:35.373 INFO  ProgressMeter -          14:68238890             15.9              53805000        3393777.2
23:02:45.382 INFO  ProgressMeter -          14:91077105             16.0              54295000        3389021.2
23:02:55.417 INFO  ProgressMeter -          15:21936127             16.2              54895000        3391071.2
23:03:05.429 INFO  ProgressMeter -          15:34649788             16.4              55441000        3389860.6
23:03:15.436 INFO  ProgressMeter -          15:46973110             16.5              56006000        3389838.0
23:03:25.438 INFO  ProgressMeter -          15:68886172             16.7              56590000        3390971.4
23:03:35.448 INFO  ProgressMeter -          15:82731109             16.9              57202000        3393713.3
23:03:45.449 INFO  ProgressMeter -         15:100263773             17.0              57787000        3394851.9
23:03:55.460 INFO  ProgressMeter -           16:3118819             17.2              58385000        3396685.2
23:04:05.490 INFO  ProgressMeter -          16:18430649             17.4              58961000        3397157.0
23:04:15.502 INFO  ProgressMeter -          16:28116063             17.5              59499000        3395512.5
23:04:25.507 INFO  ProgressMeter -          16:32899767             17.7              60042000        3394197.7
23:04:35.510 INFO  ProgressMeter -          16:67165194             17.9              60609000        3394264.2
23:04:45.520 INFO  ProgressMeter -          16:78013185             18.0              61157000        3393247.0
23:04:55.520 INFO  ProgressMeter -           17:2566957             18.2              61744000        3394426.7
23:05:05.521 INFO  ProgressMeter -           17:9298129             18.4              62315000        3394713.4
23:05:15.525 INFO  ProgressMeter -          17:20905976             18.5              62922000        3396923.1
23:05:25.532 INFO  ProgressMeter -          17:36287654             18.7              63518000        3398498.8
23:05:35.546 INFO  ProgressMeter -          17:41566751             18.9              64074000        3397904.4
23:05:45.552 INFO  ProgressMeter -          17:50008392             19.0              64675000        3399709.7
23:05:55.556 INFO  ProgressMeter -          17:67951504             19.2              65273000        3401333.1
23:06:05.558 INFO  ProgressMeter -          17:78935276             19.4              65815000        3400044.4
23:06:15.558 INFO  ProgressMeter -          18:14376358             19.5              66328000        3397295.3
23:06:25.559 INFO  ProgressMeter -          18:55274864             19.7              66935000        3399363.7
23:06:35.565 INFO  ProgressMeter -           19:2430845             19.9              67531000        3400826.2
23:06:45.585 INFO  ProgressMeter -           19:9069711             20.0              68104000        3401081.9
23:06:55.593 INFO  ProgressMeter -          19:15278108             20.2              68633000        3399185.0
23:07:05.594 INFO  ProgressMeter -          19:33628619             20.4              69245000        3401415.7
23:07:15.608 INFO  ProgressMeter -          19:41381418             20.5              69869000        3404158.9
23:07:25.614 INFO  ProgressMeter -          19:49378071             20.7              70467000        3405623.3
23:07:35.616 INFO  ProgressMeter -          19:55543670             20.9              71058000        3406739.5
23:07:45.626 INFO  ProgressMeter -          20:10015832             21.0              71654000        3408051.6
23:07:55.631 INFO  ProgressMeter -          20:35584748             21.2              72270000        3410302.8
23:08:05.642 INFO  ProgressMeter -          20:57415085             21.4              72853000        3410960.5
23:08:15.658 INFO  ProgressMeter -          21:33078579             21.5              73435000        3411543.1
23:08:25.660 INFO  ProgressMeter -          22:16287620             21.7              74055000        3413907.8
23:08:35.672 INFO  ProgressMeter -          22:22863330             21.9              74618000        3413605.4
23:08:45.681 INFO  ProgressMeter -          22:36560695             22.0              75244000        3416173.0
23:08:55.688 INFO  ProgressMeter -          22:44220722             22.2              75730000        3412398.7
23:09:05.690 INFO  ProgressMeter -            X:7137475             22.4              76206000        3408243.7
23:09:15.691 INFO  ProgressMeter -           X:20195205             22.5              76478000        3395099.0
23:09:25.705 INFO  ProgressMeter -           X:47045512             22.7              76868000        3387317.5
23:09:35.718 INFO  ProgressMeter -           X:68059414             22.9              77460000        3388483.6
23:09:45.723 INFO  ProgressMeter -          X:101449217             23.0              78004000        3387572.7
23:09:55.737 INFO  ProgressMeter -          X:129535878             23.2              78543000        3386432.7
23:10:05.745 INFO  ProgressMeter -          X:153699493             23.4              79125000        3387166.5
23:10:15.749 INFO  ProgressMeter -       hs37d5:3911515             23.5              79684000        3386924.4
23:10:25.749 INFO  ProgressMeter -      hs37d5:34982718             23.7              80246000        3386817.0
23:10:25.880 INFO  ApplyBQSR - 0 read(s) filtered by: WellformedReadFilter 

23:10:25.880 INFO  ProgressMeter -             unmapped             23.7              80252081        3386761.6
23:10:25.880 INFO  ProgressMeter - Traversal complete. Processed 80252081 total reads in 23.7 minutes.
23:10:25.929 INFO  ApplyBQSR - Shutting down engine
[11 September 2020 11:10:25 PM] org.broadinstitute.hellbender.tools.walkers.bqsr.ApplyBQSR done. Elapsed time: 23.71 minutes.
Runtime.totalMemory()=1910505472
Using GATK jar /store/lkemp/resource_benchmarking/resource_bench_08_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/9b3bdd1f/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx30g -jar /store/lkemp/resource_benchmarking/resource_bench_08_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/9b3bdd1f/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar ApplyBQSR -R /store/lkemp/publicData/b37/human_g1k_v37_decoy.fasta -I ../results/mapped/NIST7035_NIST_sorted_mkdups.bam --bqsr-recal-file ../results/mapped/NIST7035_NIST_recalibration_report.grp -O ../results/mapped/NIST7035_NIST_recalibrated.bam
23:10:37.308 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/store/lkemp/resource_benchmarking/resource_bench_08_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/9b3bdd1f/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Sep 11, 2020 11:10:37 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
23:10:37.704 INFO  ApplyBQSR - ------------------------------------------------------------
23:10:37.704 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.1.8.1
