13:12:44.469 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/store/lkemp/resource_benchmarking/resource_bench_02_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/905e741e/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Sep 12, 2020 1:12:44 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
13:12:44.819 INFO  HaplotypeCaller - ------------------------------------------------------------
13:12:44.820 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.1.8.1
13:12:44.820 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
13:12:44.820 INFO  HaplotypeCaller - Executing as lkemp@Wintermute on Linux v4.4.0-179-generic amd64
13:12:44.820 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_265-b11
13:12:44.820 INFO  HaplotypeCaller - Start Date/Time: 12 September 2020 1:12:44 PM
13:12:44.820 INFO  HaplotypeCaller - ------------------------------------------------------------
13:12:44.821 INFO  HaplotypeCaller - ------------------------------------------------------------
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Version: 2.23.0
13:12:44.821 INFO  HaplotypeCaller - Picard Version: 2.22.8
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:12:44.822 INFO  HaplotypeCaller - Deflater: IntelDeflater
13:12:44.822 INFO  HaplotypeCaller - Inflater: IntelInflater
13:12:44.822 INFO  HaplotypeCaller - GCS max retries/reopens: 20
13:12:44.822 INFO  HaplotypeCaller - Requester pays: disabled
13:12:44.822 INFO  HaplotypeCaller - Initializing engine
13:12:45.194 INFO  FeatureManager - Using codec VCFCodec to read file file:///store/lkemp/publicData/b37/dbsnp_138.b37.vcf
13:12:45.344 INFO  HaplotypeCaller - Done initializing engine
13:12:45.355 INFO  HaplotypeCallerEngine - Disabling physical phasing, which is supported only for reference-model confidence output
13:12:45.370 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/store/lkemp/resource_benchmarking/resource_bench_02_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/905e741e/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar!/com/intel/gkl/native/libgkl_utils.so
13:12:45.371 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/store/lkemp/resource_benchmarking/resource_bench_02_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/905e741e/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
13:12:45.420 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
13:12:45.420 INFO  IntelPairHmm - Available threads: 2
13:12:45.420 INFO  IntelPairHmm - Requested threads: 2
13:12:45.420 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
13:12:45.458 INFO  ProgressMeter - Starting traversal
13:12:45.459 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
13:20:27.583 INFO  ProgressMeter -          1:106967281              7.7                431750          56056.4
13:20:37.606 INFO  ProgressMeter -          1:110052177              7.9                444080          56433.3
13:20:47.618 INFO  ProgressMeter -          1:112309669              8.0                453420          56423.7
13:20:57.630 INFO  ProgressMeter -          1:115538271              8.2                466400          56858.3
13:21:07.635 INFO  ProgressMeter -          1:118747792              8.4                479250          57260.8
13:21:17.635 INFO  ProgressMeter -          1:127391303              8.5                509670          59706.4
13:21:28.195 INFO  ProgressMeter -          1:142805622              8.7                561510          64450.5
13:21:38.224 INFO  ProgressMeter -          1:144530655              8.9                567930          63960.4
13:21:48.609 INFO  ProgressMeter -          1:144855775              9.1                569220          62880.0
13:21:58.974 INFO  ProgressMeter -          1:145113449              9.2                570610          61853.1
13:22:08.998 INFO  ProgressMeter -          1:145293630              9.4                571480          60845.5
13:22:19.000 INFO  ProgressMeter -          1:146577661              9.6                576370          60296.0
13:22:29.015 INFO  ProgressMeter -          1:148247750              9.7                582760          59918.2
13:22:39.116 INFO  ProgressMeter -          1:149281890              9.9                586690          59295.9
13:22:49.155 INFO  ProgressMeter -          1:150595698             10.1                592010          58838.6
13:23:02.171 INFO  ProgressMeter -          1:152188501             10.3                598640          58241.8
13:23:12.175 INFO  ProgressMeter -          1:152416518             10.4                599610          57404.9
13:23:22.180 INFO  ProgressMeter -          1:154273531             10.6                607290          57226.7
13:23:32.196 INFO  ProgressMeter -          1:156084445             10.8                614870          57043.6
13:23:42.201 INFO  ProgressMeter -          1:157898959             10.9                622390          56861.6
13:23:52.203 INFO  ProgressMeter -          1:160568553             11.1                633190          56980.5
13:24:02.211 INFO  ProgressMeter -          1:162757900             11.3                642290          56944.6
13:24:12.213 INFO  ProgressMeter -          1:166249517             11.4                656160          57327.2
13:24:22.219 INFO  ProgressMeter -          1:168714347             11.6                666130          57362.4
13:24:32.224 INFO  ProgressMeter -          1:171810314             11.8                678460          57597.1
13:24:42.231 INFO  ProgressMeter -          1:175536504             11.9                693240          58030.2
13:24:52.232 INFO  ProgressMeter -          1:179122883             12.1                707410          58401.5
13:25:02.235 INFO  ProgressMeter -          1:182234080             12.3                720150          58646.0
13:25:12.236 INFO  ProgressMeter -          1:185488553             12.4                733120          58902.7
13:25:22.239 INFO  ProgressMeter -          1:190067680             12.6                750790          59525.1
13:25:32.250 INFO  ProgressMeter -          1:194468083             12.8                767740          60074.3
13:25:42.249 INFO  ProgressMeter -          1:199034218             12.9                785240          60652.7
13:25:52.253 INFO  ProgressMeter -          1:201380883             13.1                794840          60613.6
13:26:02.267 INFO  ProgressMeter -          1:203627373             13.3                804240          60559.6
13:26:12.290 INFO  ProgressMeter -          1:205325572             13.4                811600          60354.6
13:26:22.319 INFO  ProgressMeter -          1:208214776             13.6                823170          60463.5
13:26:32.320 INFO  ProgressMeter -          1:211421657             13.8                836050          60666.8
13:26:42.327 INFO  ProgressMeter -          1:214319685             13.9                847700          60776.6
13:26:52.330 INFO  ProgressMeter -          1:216441701             14.1                856030          60648.9
13:27:02.340 INFO  ProgressMeter -          1:220373295             14.3                871360          61013.8
13:27:12.342 INFO  ProgressMeter -          1:223369039             14.4                883280          61134.9
13:27:22.353 INFO  ProgressMeter -          1:226066640             14.6                894360          61195.1
13:27:32.358 INFO  ProgressMeter -          1:228217738             14.8                903200          61102.8
13:27:42.359 INFO  ProgressMeter -          1:230900442             14.9                914260          61161.3
13:27:52.406 INFO  ProgressMeter -          1:234066542             15.1                927020          61327.9
13:28:02.419 INFO  ProgressMeter -          1:236591454             15.3                937500          61344.0
13:28:12.421 INFO  ProgressMeter -          1:239590555             15.4                949510          61459.5
13:28:22.516 INFO  ProgressMeter -          1:243221165             15.6                964050          61728.4
13:28:32.516 INFO  ProgressMeter -          1:246714924             15.8                978170          61971.1
13:28:42.520 INFO  ProgressMeter -          1:248544415             16.0                985700          61795.4
13:28:52.531 INFO  ProgressMeter -            2:1840765             16.1                996030          61796.6
13:29:02.538 INFO  ProgressMeter -            2:5148206             16.3               1009410          61985.4
13:29:12.546 INFO  ProgressMeter -            2:8741245             16.5               1023670          62223.7
13:29:22.546 INFO  ProgressMeter -           2:11193573             16.6               1033970          62219.4
13:29:32.549 INFO  ProgressMeter -           2:14202649             16.8               1046010          62318.8
13:29:42.555 INFO  ProgressMeter -           2:17771714             17.0               1060210          62543.4
13:29:52.610 INFO  ProgressMeter -           2:21226562             17.1               1074050          62739.6
13:30:02.610 INFO  ProgressMeter -           2:24796985             17.3               1088430          62966.5
13:30:12.640 INFO  ProgressMeter -           2:27260135             17.5               1098540          62942.7
13:30:22.640 INFO  ProgressMeter -           2:29489058             17.6               1107800          62872.9
13:30:32.644 INFO  ProgressMeter -           2:32314566             17.8               1119230          62926.1
13:30:42.647 INFO  ProgressMeter -           2:35876137             18.0               1133330          63127.1
13:30:52.655 INFO  ProgressMeter -           2:39047811             18.1               1146250          63259.1
13:31:02.660 INFO  ProgressMeter -           2:42268242             18.3               1159160          63388.2
13:31:12.661 INFO  ProgressMeter -           2:45235150             18.5               1171220          63469.2
13:31:22.667 INFO  ProgressMeter -           2:48432798             18.6               1184260          63601.0
13:31:32.673 INFO  ProgressMeter -           2:53271755             18.8               1203010          64034.5
13:31:42.679 INFO  ProgressMeter -           2:56198212             19.0               1214900          64098.4
13:31:52.684 INFO  ProgressMeter -           2:61189643             19.1               1234110          64544.1
13:32:02.684 INFO  ProgressMeter -           2:64882867             19.3               1248770          64746.4
13:32:12.689 INFO  ProgressMeter -           2:68692007             19.5               1263980          64973.3
13:32:22.691 INFO  ProgressMeter -           2:71658719             19.6               1276000          65033.9
13:32:32.711 INFO  ProgressMeter -           2:74784114             19.8               1288520          65117.8
13:32:42.714 INFO  ProgressMeter -           2:79263280             20.0               1306010          65450.2
13:32:52.733 INFO  ProgressMeter -           2:84835266             20.1               1327180          65959.2
13:33:02.734 INFO  ProgressMeter -           2:87395441             20.3               1337580          65929.9
13:33:13.621 INFO  ProgressMeter -           2:91778216             20.5               1353580          66127.1
13:33:23.621 INFO  ProgressMeter -           2:94128940             20.6               1361910          65996.7
13:33:33.863 INFO  ProgressMeter -           2:96526599             20.8               1370550          65870.5
13:33:43.870 INFO  ProgressMeter -           2:98645916             21.0               1378930          65746.2
13:33:53.870 INFO  ProgressMeter -          2:101992689             21.1               1392200          65855.6
13:34:03.870 INFO  ProgressMeter -          2:105863197             21.3               1407370          66052.5
13:34:13.871 INFO  ProgressMeter -          2:109005505             21.5               1419990          66127.4
13:34:23.874 INFO  ProgressMeter -          2:112625108             21.6               1433990          66264.9
13:34:34.827 INFO  ProgressMeter -          2:114341648             21.8               1441040          66033.7
13:34:44.828 INFO  ProgressMeter -          2:116371992             22.0               1449010          65895.6
13:34:54.828 INFO  ProgressMeter -          2:120143027             22.2               1463810          66067.9
13:35:04.828 INFO  ProgressMeter -          2:122764128             22.3               1474700          66062.5
13:35:14.838 INFO  ProgressMeter -          2:127081939             22.5               1491400          66314.9
13:35:24.843 INFO  ProgressMeter -          2:129292978             22.7               1500630          66234.3
13:35:35.004 INFO  ProgressMeter -          2:130989418             22.8               1507710          66053.0
13:35:45.131 INFO  ProgressMeter -          2:132359449             23.0               1513270          65810.0
13:35:55.134 INFO  ProgressMeter -          2:135435306             23.2               1525300          65855.7
13:36:05.154 INFO  ProgressMeter -          2:139047236             23.3               1539430          65989.9
13:36:15.158 INFO  ProgressMeter -          2:143669535             23.5               1557390          66286.1
13:36:25.165 INFO  ProgressMeter -          2:148380674             23.7               1575480          66583.4
13:36:35.174 INFO  ProgressMeter -          2:152363936             23.8               1591080          66771.9
13:36:45.175 INFO  ProgressMeter -          2:156229587             24.0               1606290          66942.0
13:36:55.284 INFO  ProgressMeter -          2:159720543             24.2               1619980          67041.8
13:37:05.283 INFO  ProgressMeter -          2:162961232             24.3               1632950          67115.6
